playerID,birthYear,nameGiven,weight,height,bats,throws
aardsda01,1981,David Allan,220,75,R,R
aaronha01,1934,Henry Louis,180,72,R,R
aaronto01,1939,Tommie Lee,190,75,R,R
aasedo01,1954,Donald William,190,75,R,R
abadan01,1972,Fausto Andres,184,73,L,L
abadfe01,1985,Fernando Antonio,220,73,L,L
abadijo01,1854,John W.,192,72,R,R
abbated01,1877,Edward James,170,71,R,R
abbeybe01,1869,Bert Wood,175,71,R,R
abbeych01,1866,Charles S.,169,68,L,L
abbotda01,1862,Leander Franklin,190,71,R,R
abbotfr01,1874,Harry Frederick,180,70,R,R
abbotgl01,1951,William Glenn,200,78,R,R
abbotje01,1972,Jeffrey William,190,74,R,L
abbotji01,1967,James Anthony,200,75,L,L
abbotku01,1969,Kurt Thomas,180,71,R,R
abbotky01,1968,Lawrence Kyle,200,76,L,L
abbotod01,1888,Ody Cleon,180,74,R,R
abbotpa01,1967,Paul David,185,75,R,R
aberal01,1927,Albert Julius,195,74,L,L
abercda01,1850,Francis Patterson,,,,
abercre01,1980,Reginald Damascus,215,75,R,R
abernbi01,1929,William Edward,190,70,R,R
abernbr01,1977,Michael Brent,185,73,R,R
abernte01,1921,Talmadge Lafayette,210,74,R,L
abernte02,1933,Theodore Wade,215,76,R,R
abernwo01,1915,Virgil Woodrow,170,72,L,L
aberscl01,1921,Clifford Alexander,200,72,R,R
ablesha01,1883,Harry Terrell,200,74,R,L
abnersh01,1966,Shawn Wesley,190,73,R,R
abramca01,1924,Calvin Ross,185,72,L,L
abramge01,1899,George Allen,170,69,R,R
abregjo01,1962,Johnny Ray,185,72,R,R
abreubo01,1974,Bob Kelly,220,72,L,R
abreujo01,1913,Joseph Lawrence,160,68,R,R
abreujo02,1987,Jose Dariel,255,75,R,R
abreuju01,1985,Juan de Dios,185,72,R,R
abreuto01,1984,Etanislao Toni,200,70,B,R
abreuwi01,1977,Winston Leonardo,170,74,R,R
abstebi01,1883,William Henry,185,72,R,R
accarje01,1981,Jeremiah Lee,195,72,R,R
aceveal01,1982,Alfredo,205,74,R,R
acevejo01,1977,Jose Omar,185,72,R,R
aceveju01,1970,Juan Carlos,245,74,R,R
achteaj01,1988,Adam Joseph,205,77,R,R
ackerji01,1958,James Justin,210,74,R,R
ackerto01,1930,Thomas James,215,76,R,R
ackledu01,1988,Dustin Michael,205,73,L,R
acklefr01,1937,Florian Frederick,202,73,L,R
acostcy01,1946,Cecilio,165,70,R,R
acosted01,1944,Eduardo Elixbet,215,77,B,R
acostjo01,1891,Jose,134,66,R,R
acostma01,1981,Manuel Alcides,215,76,R,R
acostme01,1896,Baldomero Pedro,140,67,L,L
acrema01,1968,Mark Robert,235,80,R,R
actama99,1969,Manuel Elias,172,74,R,R
adairbi99,1913,Marion Danne,168,72,R,R
adairje01,1936,Kenneth Jerry,175,72,R,R
adairji01,1907,James Audrey,154,70,R,R
adamecr01,1991,Cristhian Pascual,185,72,B,R
adamsac01,1910,Ace Townsend,182,70,R,R
adamsau01,1986,Austin David,200,71,R,R
adamsba01,1882,Charles Benjamin,185,71,L,R
adamsbe01,1891,John Bertram,185,73,B,R
adamsbo01,1901,Robert Burnette,168,71,R,R
adamsbo02,1907,Robert Andrew,165,72,R,R
adamsbo03,1921,Robert Henry,160,70,R,R
adamsbo04,1952,Robert Melvin,200,74,R,R
adamsbu01,1915,Elvin Clark,180,72,R,R
adamsda01,1887,Daniel Leslie,165,71,R,R
adamsda02,1987,David Lee,205,73,R,R
adamsdi01,1920,Richard Leroy,185,72,R,L
adamsdo01,1943,Harold Douglas,185,75,L,R
adamsge01,1855,George Henry,175,66,R,R
adamsgl01,1947,Glenn Charles,180,73,L,R
adamshe01,1928,Herbert Loren,160,69,L,L
adamsji01,1868,James J.,148,66,,R
adamsjo01,1877,Joseph Edward,190,72,R,L
adamsjo02,1971,Joel Lee,185,76,L,L
adamska01,1891,Karl Tutwiler,170,74,R,R
adamsla01,1989,Lane Weston,190,76,R,R
adamsma01,1988,Matthew James,260,75,L,R
adamsmi01,1947,John Michael,185,74,R,R
adamsmi02,1948,Robert Michael,180,69,R,R
adamsmi03,1978,Jon Michael,210,77,R,R
adamsre01,1921,Charles Dwight,185,72,R,R
adamsri01,1878,Reuben Alexander,165,72,L,L
adamsri02,1959,Ricky Lee,180,74,R,R
adamsru01,1980,Russ Moore,205,72,L,R
adamsry01,1987,Ryan Scott,185,71,R,R
adamssp01,1894,Earl John,151,65,R,R
adamssp02,1898,Spencer Dewey,158,69,L,R
adamste01,1973,Terry Wayne,180,75,R,R
adamswi01,1890,James Irvin,180,76,R,R
adamswi02,1972,William Edward,215,79,R,R
adcocjo01,1927,Joseph Wilbur,210,76,R,R
adcocna01,1988,Nathan Masler,235,76,R,R
addisbo01,1925,Robert Gordon,175,72,L,R
adducji01,1959,James David,200,77,L,L
adducji02,1985,Jim Charles,210,74,L,L
addybo01,1842,Robert Edward,160,68,L,L
adenhni01,1986,Nicholas James,185,75,R,R
aderhmo01,1915,Morris Woodrow,188,73,L,R
adkinde01,1918,John Dewey,195,74,R,R
adkindi01,1920,Richard Earl,165,70,R,R
adkindo01,1872,Merle Theron,220,70,R,R
adkingr01,1897,Grady Emmett,175,71,R,R
adkinhe01,1874,John Harry,,,,
adkinjo01,1977,Jonathan Scott,200,72,L,R
adkinst01,1964,Steven Thomas,210,78,R,L
adlesda01,1943,David George,187,72,R,R
adriaeh01,1989,Ehire Enrique,170,73,B,R
afenitr01,1963,Michael Troy,185,76,R,R
affelje01,1979,Jeremy David,225,76,L,L
agbaybe01,1971,Benny Peter,225,72,R,R
ageeto01,1942,Tommie Lee,195,71,R,R
agganha01,1929,Harry,200,74,L,L
aglerjo01,1887,Joseph Abram,165,71,L,L
agnewsa01,1887,Samuel Lester,185,71,R,R
agostju01,1958,Juan Roberto,190,74,L,L
aguaylu01,1959,Luis,173,69,R,R
aguilch01,1979,Christopher Louis,200,71,R,R
aguilje01,1990,Jesus Alexander,250,75,R,R
aguilri01,1961,Richard Warren,195,76,R,R
aguirha01,1931,Henry John,205,76,R,L
ahearch01,1858,William H.,,,,
ahearpa01,1969,Patrick Howard,195,75,R,R
